"","state","date","tweets","hoax","fips","cases","deaths","rank","pop","growth","Pop2018","Pop2010","growthSince2010","Percent","density","one","stweets","hoaxsh","nn","cumtweets","cumhoax","casesPC","deathsPC","datex","tweetsPC","L1hoaxsh","L2hoaxsh","L1cases","hoaxshXdensity","Dcases","DcasesPC","mtweetsPC","mhoaxsh","mdensity","tweetsPCXdensity"
"1212","Vermont",2020-04-18,35,0,50,803,37,51,628.061,0.0028,626299,625880,0.0035,0.0019,68.1416,1,35,0,27,815,0,1.27853823115908,0.05891147515926,2020-04-18,12.9764465553505,0,0,803,0,0,0,15.721784947525,0.583609511688196,203.900898,-1761.6732748889
"1213","Virginia",2020-03-23,420,0,51,254,6,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,420,0,1,420,0,0.0294451547476197,0.000695554836557945,2020-03-23,0.486888385590561,0,0,254,0,0,0,0.446601736382587,0.35588698452728,203.900898,7.07906596723218
"1214","Virginia",2020-03-24,278,0,51,290,7,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,278,0,2,698,0,0.0336184837669673,0.000811480642650936,2020-03-24,0.809162126529076,0,0,290,0,0,0,0.854902606082873,0.284735044828347,203.900898,11.7647334407811
"1215","Virginia",2020-03-25,409,1,51,391,9,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,409,0.0903342366757001,3,1107,1,0.0453269901823594,0.00104333225483692,2020-03-25,1.28329867344941,0.0903342366757001,0.0903342366757001,391,1.31340578139115,0,0,1.4136488181593,0.537442017526092,203.900898,18.6583952993477
"1216","Virginia",2020-03-26,686,1,51,604,14,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,686,0.11154489682097,4,1793,2,0.0700191868801665,0.00162296128530187,2020-03-26,2.07854970324733,0.11154489682097,0.11154489682097,604,1.62179609592861,0,0,2.22875206262975,0.48334322789808,203.900898,30.2208697124936
"1217","Virginia",2020-03-27,174,1,51,606,14,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,174,0.152516522623284,5,1967,3,0.0702510384923524,0.00162296128530187,2020-03-27,2.28026060584913,0.152516522623284,0.152516522623284,606,2.21749903406202,0,0,2.44813175000002,0.488528420356186,203.900898,33.153625613204
"1218","Virginia",2020-03-28,27,1,51,740,17,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,27,0.200601805416249,6,1994,4,0.0857850965088132,0.00197073870358084,2020-03-28,2.31156057349424,0.200601805416249,0.200601805416249,740,-0.211873882517118,0,0,2.52225190802726,0.512163315957607,219.496491304348,-2.44145017719791
"1219","Virginia",2020-03-29,100,0,51,890,22,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,100,0.191021967526266,7,2094,4,0.103173967422762,0.0025503677340458,2020-03-29,2.42748637958723,0.191021967526266,0.191021967526266,890,2.77734517669532,0,0,2.62859524428146,0.623893440155147,203.900898,35.2942003223433
"1220","Virginia",2020-03-30,209,0,51,1021,26,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,209,0.173686495874946,8,2303,4,0.118360248020944,0.00301407095841776,2020-03-30,2.66977131432158,0.173686495874946,0.173686495874946,1021,2.52529778549718,0,0,2.88751126732879,0.854384883343553,203.900898,38.8168783869898
"1221","Virginia",2020-03-31,320,5,51,1250,27,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,320,0.343118566526878,9,2623,9,0.144907257616239,0.00312999676451075,2020-03-31,3.04073389381915,0.343118566526878,0.343118566526878,1250,4.98873877239802,0,0,3.27416992018024,0.92162012762619,203.900898,44.2104524572619
"1222","Virginia",2020-04-01,470,2,51,1511,34,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,470,0.355641771742645,10,3093,11,0.175163893006509,0.00394147740716169,2020-04-01,3.58558518245621,0.355641771742645,0.355641771742645,1511,5.17081868735855,0,0,3.86628231992541,0.880775936615251,203.900898,52.1322643729741
"1223","Virginia",2020-04-02,381,0,51,1706,41,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,381,0.316637881404721,11,3474,11,0.197769425194642,0.00475295804981262,2020-04-02,4.0272625036705,0.316637881404721,0.316637881404721,1706,4.60372544617156,0,0,4.3936614613976,0.81645045850813,203.900898,58.5539885003919
"1224","Virginia",2020-04-03,525,0,51,2012,46,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,525,0.275068767191798,12,3999,11,0.233242721859098,0.00533258708027758,2020-04-03,4.6358729856587,0.275068767191798,0.275068767191798,2012,3.99933538384596,0,0,5.02172125762318,0.781583092253111,203.900898,67.4028209594321
"1225","Virginia",2020-04-04,574,3,51,2407,52,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,574,0.306144762737809,13,4573,14,0.279033415265829,0.00602814191683552,2020-04-04,5.30128711263247,0.306144762737809,0.306144762737809,2407,4.45116177563962,0,0,5.77566226206666,0.738983400021089,203.900898,77.0775444479827
"1226","Virginia",2020-04-05,579,4,51,2637,52,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,579,0.349378881987578,14,5152,18,0.305696350667217,0.00602814191683552,2020-04-05,5.97249752991089,0.349378881987578,0.349378881987578,2637,5.07976001552795,0,0,6.50918760998209,0.690244208414145,203.900898,86.8365425313814
"1227","Virginia",2020-04-06,568,0,51,2878,54,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,568,0.314685314685315,15,5720,18,0.333634469935628,0.0062599935290215,2020-04-06,6.63095610851907,0.314685314685315,0.314685314685315,2878,4.57533629370629,0,0,7.29426477567296,0.66483533873214,203.900898,96.4101365061144
"1228","Virginia",2020-04-07,648,0,51,3333,69,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,648,0.282663316582915,16,6368,18,0.386380711707938,0.00799888062041637,2020-04-07,7.38215533200166,0.282663316582915,0.282663316582915,3333,4.10975559045226,0,0,8.10203425579575,0.627086821395745,203.900898,107.332123998415
"1229","Virginia",2020-04-08,703,1,51,3645,75,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,703,0.268703153726488,17,7071,19,0.422549563208952,0.00869443545697431,2020-04-08,8.19711374883538,0.268703153726488,0.268703153726488,3645,3.90678317069721,0,0,8.92603999953742,0.625334615867889,203.900898,119.181132034045
"1230","Virginia",2020-04-09,658,2,51,4042,109,12,8626.207,0.0127,8517685,8023680,0.0751,0.0258,218.4403,1,658,0.271703972053306,18,7729,21,0.468572108227869,0.012635912864136,2020-04-09,8.95990555292726,0.271703972053306,0.271703972053306,4042,3.95041327467978,0,0,9.74177004803146,0.612908396991543,203.900898,130.271668716042
